date,open,high,low,close,volume,market cap
"Sep 24, 2020",0.26147,0.309329,0.259936,0.302614,"14,231,129","111,236,318"
"Sep 23, 2020",0.297327,0.308351,0.259598,0.26147,"12,356,015","96,112,287"
"Sep 22, 2020",0.357421,0.375575,0.281773,0.297114,"29,455,038","109,214,371"
"Sep 21, 2020",0.274639,0.505618,0.27425,0.359235,"142,393,908","132,049,316"
"Sep 20, 2020",0.289948,0.29007,0.265812,0.274639,"7,905,124","100,952,987"
"Sep 19, 2020",0.267882,0.297186,0.264909,0.289903,"8,932,411","106,563,653"
"Sep 18, 2020",0.298211,0.298757,0.258631,0.268128,"12,271,148","98,559,559"
"Sep 17, 2020",0.321254,0.334242,0.294612,0.298211,"8,126,673","19,624,442"
"Sep 16, 2020",0.324085,0.329588,0.31399,0.321254,"5,945,686","21,140,860"
"Sep 15, 2020",0.341858,0.349239,0.316783,0.323678,"5,571,105","21,300,369"
"Sep 14, 2020",0.340989,0.348918,0.332637,0.341858,"4,609,510","22,496,712"
"Sep 13, 2020",0.348912,0.359604,0.337544,0.341076,"5,647,123","22,445,264"
"Sep 12, 2020",0.351052,0.35111,0.342047,0.349093,"4,831,168","22,972,859"
"Sep 11, 2020",0.353222,0.356574,0.335698,0.35084,"6,806,807","23,087,827"
"Sep 10, 2020",0.34583,0.369557,0.342062,0.353222,"9,603,940","23,244,600"
"Sep 09, 2020",0.338864,0.35378,0.330842,0.34583,"8,470,086","22,758,147"
"Sep 08, 2020",0.338517,0.365614,0.327365,0.338756,"14,759,324","22,292,622"
"Sep 07, 2020",0.347131,0.352165,0.316203,0.338747,"10,862,677","22,291,992"
"Sep 06, 2020",0.329511,0.357558,0.311232,0.347214,"13,870,372","22,849,186"
"Sep 05, 2020",0.365914,0.389211,0.311167,0.329511,"14,212,549","21,684,219"
"Sep 04, 2020",0.330729,0.396556,0.31561,0.36598,"26,740,755","24,084,176"
"Sep 03, 2020",0.418473,0.419595,0.323619,0.329447,"21,061,773","21,679,979"
"Sep 02, 2020",0.4523,0.454172,0.410149,0.418749,"15,657,228","27,556,758"
"Sep 01, 2020",0.45938,0.466269,0.435031,0.45303,"15,864,592","29,812,681"
"Aug 31, 2020",0.469075,0.476834,0.450936,0.459427,"11,598,542","30,233,628"
"Aug 30, 2020",0.495532,0.495656,0.465022,0.468862,"14,594,002","30,854,539"
"Aug 29, 2020",0.478936,0.537426,0.454727,0.495479,"29,645,766","32,606,152"
"Aug 28, 2020",0.406582,0.524681,0.401662,0.478931,"37,937,748","31,517,119"
"Aug 27, 2020",0.437711,0.452373,0.399569,0.406678,"13,936,832","26,762,340"
"Aug 26, 2020",0.437501,0.467296,0.422352,0.438231,"16,200,441","28,838,792"
"Aug 25, 2020",0.482244,0.501053,0.414906,0.437535,"30,419,415","28,792,997"